epoch,train_aug/loss,train_aug/accuracy,train_eval/loss,train_eval/accuracy,val/loss,val/accuracy
1,1.0735637113125656,0.4481751824817518,0.985194199798751,0.6306569343065693,0.984275115860833,0.6666666666666666
2,0.9701840894935775,0.581021897810219,0.8100811483216112,0.67007299270073,0.8244072066413032,0.6666666666666666
3,0.8462305175126904,0.6744525547445256,0.681118545393004,0.7518248175182481,0.7177658975124359,0.7291666666666666
4,0.7499393810320945,0.7372262773722628,0.580080417821007,0.7839416058394161,0.6520391835106744,0.7361111111111112
5,0.7125619809992992,0.7313868613138687,0.5302176813139533,0.8,0.5964351461993324,0.7986111111111112
6,0.6518496153128408,0.7722627737226277,0.5045741381871439,0.8058394160583942,0.5718186861938901,0.8194444444444444
7,0.6293141378973522,0.7635036496350365,0.45069469787778643,0.8481751824817518,0.5466232730282677,0.8263888888888888
8,0.585077938024145,0.8058394160583942,0.4026168814540779,0.8467153284671532,0.5040646874242358,0.8125
9,0.5891847096220421,0.7985401459854015,0.39352167335739974,0.8583941605839416,0.5211206641462114,0.8055555555555556
10,0.596182491962057,0.7970802919708029,0.367986924543868,0.8700729927007299,0.49806661076015896,0.7986111111111112
11,0.5276517704455522,0.8218978102189781,0.39484286647643485,0.8496350364963504,0.4969709797037972,0.8263888888888888
12,0.5565923808264907,0.8189781021897811,0.3216679223262481,0.8846715328467153,0.47094202124410206,0.8125
13,0.5120388976413838,0.8335766423357664,0.31467844121647576,0.9021897810218978,0.4591192967361874,0.8472222222222222
14,0.4998228863207963,0.8481751824817518,0.306910232492607,0.8759124087591241,0.4584281113412645,0.8472222222222222
15,0.5091698751614911,0.8452554744525548,0.26207436777814463,0.927007299270073,0.4447203617956903,0.8402777777777778
16,0.4412452414958146,0.8890510948905109,0.22901422875205965,0.9197080291970803,0.43286684817738,0.8402777777777778
17,0.4422170559855273,0.8554744525547445,0.23485552879580615,0.9182481751824818,0.44822754628128475,0.8263888888888888
18,0.49657447181478903,0.8452554744525548,0.19842066338462552,0.9503649635036496,0.42874234086937374,0.8194444444444444
19,0.46588234662139505,0.8583941605839416,0.2083944282610051,0.9240875912408759,0.4757229627834426,0.8194444444444444
20,0.4161851039768135,0.8992700729927007,0.1763348518061812,0.945985401459854,0.404659623073207,0.8333333333333334
21,0.41370762634451375,0.9021897810218978,0.16752054336732322,0.948905109489051,0.4378434423771169,0.8402777777777778
22,0.4120218303081763,0.8963503649635036,0.1705336108042376,0.9445255474452555,0.41979680127567714,0.8333333333333334
23,0.45540378085018074,0.8773722627737226,0.18171041194539872,0.9474452554744526,0.42501256035433876,0.8541666666666666
24,0.4002350046686883,0.8905109489051095,0.16349168598216815,0.9605839416058394,0.4560535194145309,0.8333333333333334
25,0.3916007088048615,0.9138686131386862,0.1625273599241772,0.9562043795620438,0.4418126725488239,0.8055555555555556
26,0.40492965609487824,0.9051094890510949,0.14191903154345326,0.9664233576642336,0.42474839546614224,0.8263888888888888
