epoch,train_aug/loss,train_aug/accuracy,train_eval/loss,train_eval/accuracy,val/loss,val/accuracy
1,1.0969195230163797,0.3854014598540146,1.0659761836058903,0.5576642335766423,1.0692635907067194,0.5902777777777778
2,1.0395499561824937,0.5430656934306569,0.9649819294031519,0.7051094890510949,0.9777638713518778,0.7361111111111112
3,0.8760518139296205,0.6934306569343066,0.6752811047282532,0.7664233576642335,0.645619692073928,0.7916666666666666
4,0.7572502119697794,0.6963503649635037,0.5169874392286704,0.8043795620437956,0.5285170939233568,0.8194444444444444
5,0.6378520805035194,0.7927007299270074,0.4529872244291932,0.8379562043795621,0.4988853434721629,0.8055555555555556
6,0.6439430061047965,0.7532846715328467,0.4001786466932645,0.8613138686131386,0.4816807574696011,0.8263888888888888
7,0.6022555102397056,0.7824817518248175,0.3582776841020932,0.8832116788321168,0.4988312605354521,0.8194444444444444
8,0.5911643867945149,0.7927007299270074,0.30117405696506916,0.9051094890510949,0.4382266253232956,0.8194444444444444
9,0.518591931092478,0.8335766423357664,0.23945904039118412,0.9226277372262773,0.44507629341549343,0.7986111111111112
10,0.4916344803615208,0.8525547445255475,0.27805654252097556,0.8934306569343066,0.5240571134620242,0.7916666666666666
11,0.4864201123697044,0.8481751824817518,0.2962836969072801,0.8963503649635036,0.4877716518110699,0.8263888888888888
12,0.48533259164677917,0.8496350364963504,0.2512077106611572,0.9211678832116789,0.459022822479407,0.8333333333333334
13,0.47240206473065116,0.8510948905109489,0.2040655058230797,0.9416058394160584,0.4368735998868942,0.8194444444444444
14,0.42455576510324966,0.872992700729927,0.2089517077390295,0.9284671532846716,0.4494599964883592,0.8402777777777778
15,0.4064627754427221,0.8978102189781022,0.18081163001539063,0.9416058394160584,0.41352178239160114,0.8472222222222222
16,0.4043093114003648,0.8934306569343066,0.15670535668839503,0.9562043795620438,0.3949321094486449,0.8611111111111112
17,0.4100574496018626,0.9007299270072993,0.17023547106850756,0.9445255474452555,0.44169581184784573,0.8541666666666666
18,0.4078216700658311,0.8948905109489051,0.15067308964955545,0.9518248175182482,0.4362797853019502,0.8472222222222222
19,0.44478469756397887,0.8846715328467153,0.16141954844232892,0.9547445255474453,0.4320471158458127,0.8472222222222222
20,0.42523122321080115,0.8759124087591241,0.14310530699843907,0.9591240875912409,0.37963243366943467,0.8680555555555556
21,0.3795322203288113,0.9007299270072993,0.15591798486718297,0.9562043795620438,0.4428286800781886,0.8263888888888888
22,0.3974564672386559,0.908029197080292,0.16146270889979208,0.9605839416058394,0.47267839685082436,0.8263888888888888
23,0.3800162709977505,0.9197080291970803,0.1296339949606544,0.9678832116788321,0.4118349386586083,0.8541666666666666
24,0.3767364920055779,0.9065693430656935,0.10235235904255052,0.9751824817518249,0.32860993925068116,0.875
25,0.3785150982167599,0.9226277372262773,0.10521993142192382,0.9795620437956204,0.36491940998368794,0.8680555555555556
26,0.373600045694922,0.910948905109489,0.09796830677311785,0.9781021897810219,0.3512009976224767,0.875
27,0.3869677803812236,0.9021897810218978,0.11594152286322447,0.9737226277372263,0.3866032924917009,0.8402777777777778
28,0.3397908758072958,0.927007299270073,0.11127757490442618,0.9737226277372263,0.3893715726832549,0.8611111111111112
29,0.35874143003547276,0.9226277372262773,0.12704165003323642,0.9678832116788321,0.4144606358475155,0.8472222222222222
30,0.34220600102069604,0.9284671532846716,0.11749797927310868,0.9708029197080292,0.406257522602876,0.8472222222222222
